"category","date","percent","downloads","package"
"without_mirrors","2021-09-25","0.04%","8","aequitas"
"without_mirrors","2021-09-25","0.73%","17","fairml"
"without_mirrors","2021-09-25","0.10%","13","fairness-indicators"
"without_mirrors","2021-09-25","0.04%","15","BlackBoxAuditing"
"without_mirrors","2021-09-25","0.08%","41","aif360"
"without_mirrors","2021-09-25","0.11%","261","fairlearn"
"without_mirrors","2021-09-26","0.14%","70","aif360"
"without_mirrors","2021-09-26","0.10%","237","fairlearn"
"without_mirrors","2021-09-26","0.03%","5","ethicml"
"without_mirrors","2021-09-26","0.12%","15","fairness-indicators"
"without_mirrors","2021-09-26","0.08%","15","aequitas"
"without_mirrors","2021-09-26","0.03%","14","BlackBoxAuditing"
"without_mirrors","2021-09-26","0.03%","2","fairness"
"without_mirrors","2021-09-27","0.24%","31","fairness-indicators"
"without_mirrors","2021-09-27","0.53%","269","aif360"
"without_mirrors","2021-09-27","0.21%","33","ethicml"
"without_mirrors","2021-09-27","0.20%","35","aequitas"
"without_mirrors","2021-09-27","0.11%","1","themis-ml"
"without_mirrors","2021-09-27","0.45%","1080","fairlearn"
"without_mirrors","2021-09-27","0.06%","24","BlackBoxAuditing"
"without_mirrors","2021-09-28","0.64%","326","aif360"
"without_mirrors","2021-09-28","0.47%","1130","fairlearn"
"without_mirrors","2021-09-28","0.15%","62","BlackBoxAuditing"
"without_mirrors","2021-09-28","0.06%","9","ethicml"
"without_mirrors","2021-09-28","0.19%","24","fairness-indicators"
"without_mirrors","2021-09-28","0.34%","8","fairml"
"without_mirrors","2021-09-28","0.06%","1","transparentai"
"without_mirrors","2021-09-28","0.17%","31","aequitas"
"without_mirrors","2021-09-29","0.08%","35","BlackBoxAuditing"
"without_mirrors","2021-09-29","0.63%","1493","fairlearn"
"without_mirrors","2021-09-29","0.03%","2","fairness"
"without_mirrors","2021-09-29","0.62%","315","aif360"
"without_mirrors","2021-09-29","0.20%","26","fairness-indicators"
"without_mirrors","2021-09-29","0.08%","12","ethicml"
"without_mirrors","2021-09-29","0.15%","27","aequitas"
"without_mirrors","2021-09-30","0.27%","34","fairness-indicators"
"without_mirrors","2021-09-30","0.05%","8","ethicml"
"without_mirrors","2021-09-30","0.40%","206","aif360"
"without_mirrors","2021-09-30","0.10%","43","BlackBoxAuditing"
"without_mirrors","2021-09-30","0.01%","1","fairness"
"without_mirrors","2021-09-30","0.53%","1264","fairlearn"
"without_mirrors","2021-09-30","0.10%","17","aequitas"
"without_mirrors","2021-09-30","0.30%","7","fairml"
"without_mirrors","2021-10-01","0.04%","1","fairml"
"without_mirrors","2021-10-01","0.01%","1","fairness"
"without_mirrors","2021-10-01","0.14%","18","fairness-indicators"
"without_mirrors","2021-10-01","0.52%","263","aif360"
"without_mirrors","2021-10-01","0.04%","7","ethicml"
"without_mirrors","2021-10-01","0.46%","82","aequitas"
"without_mirrors","2021-10-01","0.13%","55","BlackBoxAuditing"
"without_mirrors","2021-10-01","0.52%","1226","fairlearn"
"without_mirrors","2021-10-02","0.07%","35","aif360"
"without_mirrors","2021-10-02","0.21%","27","fairness-indicators"
"without_mirrors","2021-10-02","0.01%","2","ethicml"
"without_mirrors","2021-10-02","0.03%","12","BlackBoxAuditing"
"without_mirrors","2021-10-02","0.02%","4","aequitas"
"without_mirrors","2021-10-02","0.14%","329","fairlearn"
"without_mirrors","2021-10-03","0.07%","12","aequitas"
"without_mirrors","2021-10-03","0.12%","15","fairness-indicators"
"without_mirrors","2021-10-03","0.02%","3","ethicml"
"without_mirrors","2021-10-03","0.11%","253","fairlearn"
"without_mirrors","2021-10-03","0.73%","17","fairml"
"without_mirrors","2021-10-03","0.18%","90","aif360"
"without_mirrors","2021-10-03","0.03%","14","BlackBoxAuditing"
"without_mirrors","2021-10-04","0.12%","21","aequitas"
"without_mirrors","2021-10-04","0.07%","27","BlackBoxAuditing"
"without_mirrors","2021-10-04","1.03%","24","fairml"
"without_mirrors","2021-10-04","0.03%","2","fairness"
"without_mirrors","2021-10-04","0.27%","35","fairness-indicators"
"without_mirrors","2021-10-04","0.36%","856","fairlearn"
"without_mirrors","2021-10-04","0.32%","3","themis-ml"
"without_mirrors","2021-10-04","0.60%","308","aif360"
"without_mirrors","2021-10-04","0.01%","2","ethicml"
"without_mirrors","2021-10-05","0.20%","35","aequitas"
"without_mirrors","2021-10-05","0.56%","283","aif360"
"without_mirrors","2021-10-05","0.01%","1","fairness"
"without_mirrors","2021-10-05","0.71%","1679","fairlearn"
"without_mirrors","2021-10-05","0.09%","39","BlackBoxAuditing"
"without_mirrors","2021-10-05","0.20%","25","fairness-indicators"
"without_mirrors","2021-10-05","0.01%","2","ethicml"
"without_mirrors","2021-10-06","0.10%","41","BlackBoxAuditing"
"without_mirrors","2021-10-06","0.11%","14","fairness-indicators"
"without_mirrors","2021-10-06","0.81%","1933","fairlearn"
"without_mirrors","2021-10-06","0.01%","1","ethicml"
"without_mirrors","2021-10-06","0.69%","351","aif360"
"without_mirrors","2021-10-06","0.11%","1","themis-ml"
"without_mirrors","2021-10-06","0.17%","31","aequitas"
"without_mirrors","2021-10-06","0.73%","17","fairml"
"without_mirrors","2021-10-07","0.56%","1324","fairlearn"
"without_mirrors","2021-10-07","0.06%","1","transparentai"
"without_mirrors","2021-10-07","0.17%","31","aequitas"
"without_mirrors","2021-10-07","0.39%","9","fairml"
"without_mirrors","2021-10-07","0.59%","302","aif360"
"without_mirrors","2021-10-07","0.11%","1","themis-ml"
"without_mirrors","2021-10-07","0.09%","12","fairness-indicators"
"without_mirrors","2021-10-07","0.12%","19","ethicml"
"without_mirrors","2021-10-07","0.03%","2","fairness"
"without_mirrors","2021-10-07","0.23%","96","BlackBoxAuditing"
"without_mirrors","2021-10-08","0.15%","62","BlackBoxAuditing"
"without_mirrors","2021-10-08","0.39%","9","fairml"
"without_mirrors","2021-10-08","0.01%","1","ethicml"
"without_mirrors","2021-10-08","0.47%","1118","fairlearn"
"without_mirrors","2021-10-08","1.01%","515","aif360"
"without_mirrors","2021-10-08","0.20%","25","fairness-indicators"
"without_mirrors","2021-10-08","0.11%","20","aequitas"
"without_mirrors","2021-10-09","0.11%","1","themis-ml"
"without_mirrors","2021-10-09","0.07%","9","fairness-indicators"
"without_mirrors","2021-10-09","0.04%","16","BlackBoxAuditing"
"without_mirrors","2021-10-09","0.11%","58","aif360"
"without_mirrors","2021-10-09","0.04%","1","fairml"
"without_mirrors","2021-10-09","0.31%","726","fairlearn"
"without_mirrors","2021-10-09","0.06%","10","aequitas"
"without_mirrors","2021-10-09","0.06%","1","transparentai"
"without_mirrors","2021-10-10","0.01%","1","fairness"
"without_mirrors","2021-10-10","0.19%","462","fairlearn"
"without_mirrors","2021-10-10","0.14%","71","aif360"
"without_mirrors","2021-10-10","0.06%","10","aequitas"
"without_mirrors","2021-10-10","0.03%","14","BlackBoxAuditing"
"without_mirrors","2021-10-10","0.14%","18","fairness-indicators"
"without_mirrors","2021-10-10","0.01%","2","ethicml"
"without_mirrors","2021-10-11","0.23%","41","aequitas"
"without_mirrors","2021-10-11","0.19%","457","fairlearn"
"without_mirrors","2021-10-11","0.08%","35","BlackBoxAuditing"
"without_mirrors","2021-10-11","0.69%","16","fairml"
"without_mirrors","2021-10-11","0.32%","41","fairness-indicators"
"without_mirrors","2021-10-11","0.07%","11","ethicml"
"without_mirrors","2021-10-11","0.52%","263","aif360"
"without_mirrors","2021-10-12","0.35%","837","fairlearn"
"without_mirrors","2021-10-12","0.01%","1","fairness"
"without_mirrors","2021-10-12","0.21%","37","aequitas"
"without_mirrors","2021-10-12","0.16%","21","fairness-indicators"
"without_mirrors","2021-10-12","0.01%","2","ethicml"
"without_mirrors","2021-10-12","0.16%","67","BlackBoxAuditing"
"without_mirrors","2021-10-12","0.44%","222","aif360"
"without_mirrors","2021-10-12","0.47%","11","fairml"
"without_mirrors","2021-10-13","0.18%","23","fairness-indicators"
"without_mirrors","2021-10-13","0.51%","258","aif360"
"without_mirrors","2021-10-13","0.07%","27","BlackBoxAuditing"
"without_mirrors","2021-10-13","0.37%","872","fairlearn"
"without_mirrors","2021-10-13","0.38%","67","aequitas"
"without_mirrors","2021-10-13","0.23%","37","ethicml"
"without_mirrors","2021-10-13","0.01%","1","fairness"
"without_mirrors","2021-10-13","0.21%","2","themis-ml"
"without_mirrors","2021-10-14","0.01%","1","fairness"
"without_mirrors","2021-10-14","0.17%","22","fairness-indicators"
"without_mirrors","2021-10-14","0.35%","63","aequitas"
"without_mirrors","2021-10-14","0.70%","1655","fairlearn"
"without_mirrors","2021-10-14","0.37%","188","aif360"
"without_mirrors","2021-10-14","0.09%","36","BlackBoxAuditing"
"without_mirrors","2021-10-14","0.04%","7","ethicml"
"without_mirrors","2021-10-15","0.35%","177","aif360"
"without_mirrors","2021-10-15","0.04%","1","fairml"
"without_mirrors","2021-10-15","0.08%","12","ethicml"
"without_mirrors","2021-10-15","0.06%","1","transparentai"
"without_mirrors","2021-10-15","0.10%","40","BlackBoxAuditing"
"without_mirrors","2021-10-15","0.48%","1149","fairlearn"
"without_mirrors","2021-10-15","0.20%","25","fairness-indicators"
"without_mirrors","2021-10-15","0.22%","39","aequitas"
"without_mirrors","2021-10-16","0.03%","12","BlackBoxAuditing"
"without_mirrors","2021-10-16","0.07%","13","aequitas"
"without_mirrors","2021-10-16","0.34%","8","fairml"
"without_mirrors","2021-10-16","0.10%","13","fairness-indicators"
"without_mirrors","2021-10-16","0.01%","2","ethicml"
"without_mirrors","2021-10-16","0.24%","575","fairlearn"
"without_mirrors","2021-10-16","0.05%","28","aif360"
"without_mirrors","2021-10-17","0.24%","42","aequitas"
"without_mirrors","2021-10-17","0.27%","34","fairness-indicators"
"without_mirrors","2021-10-17","0.11%","56","aif360"
"without_mirrors","2021-10-17","0.03%","5","ethicml"
"without_mirrors","2021-10-17","0.04%","15","BlackBoxAuditing"
"without_mirrors","2021-10-17","0.34%","8","fairml"
"without_mirrors","2021-10-17","0.09%","209","fairlearn"
"without_mirrors","2021-10-18","0.53%","1254","fairlearn"
"without_mirrors","2021-10-18","0.18%","23","fairness-indicators"
"without_mirrors","2021-10-18","0.03%","4","ethicml"
"without_mirrors","2021-10-18","0.09%","38","BlackBoxAuditing"
"without_mirrors","2021-10-18","0.34%","8","fairml"
"without_mirrors","2021-10-18","0.50%","257","aif360"
"without_mirrors","2021-10-18","0.12%","21","aequitas"
"without_mirrors","2021-10-18","0.21%","2","themis-ml"
"without_mirrors","2021-10-18","0.04%","3","fairness"
"without_mirrors","2021-10-19","0.52%","266","aif360"
"without_mirrors","2021-10-19","0.03%","2","fairness"
"without_mirrors","2021-10-19","0.36%","64","aequitas"
"without_mirrors","2021-10-19","0.24%","31","fairness-indicators"
"without_mirrors","2021-10-19","0.09%","2","fairml"
"without_mirrors","2021-10-19","0.10%","40","BlackBoxAuditing"
"without_mirrors","2021-10-19","0.57%","1353","fairlearn"
"without_mirrors","2021-10-19","0.02%","3","ethicml"
"without_mirrors","2021-10-20","0.02%","3","ethicml"
"without_mirrors","2021-10-20","0.53%","1259","fairlearn"
"without_mirrors","2021-10-20","0.12%","21","aequitas"
"without_mirrors","2021-10-20","0.10%","43","BlackBoxAuditing"
"without_mirrors","2021-10-20","0.16%","20","fairness-indicators"
"without_mirrors","2021-10-20","0.11%","1","themis-ml"
"without_mirrors","2021-10-20","0.45%","228","aif360"
"without_mirrors","2021-10-21","0.47%","11","fairml"
"without_mirrors","2021-10-21","0.59%","1393","fairlearn"
"without_mirrors","2021-10-21","0.33%","59","aequitas"
"without_mirrors","2021-10-21","0.62%","316","aif360"
"without_mirrors","2021-10-21","0.32%","3","themis-ml"
"without_mirrors","2021-10-21","0.27%","35","fairness-indicators"
"without_mirrors","2021-10-21","0.24%","98","BlackBoxAuditing"
"without_mirrors","2021-10-21","0.02%","3","ethicml"
"without_mirrors","2021-10-21","0.06%","1","transparentai"
"without_mirrors","2021-10-21","0.03%","2","fairness"
"without_mirrors","2021-10-22","0.03%","2","fairness"
"without_mirrors","2021-10-22","0.42%","212","aif360"
"without_mirrors","2021-10-22","0.44%","1039","fairlearn"
"without_mirrors","2021-10-22","0.06%","9","ethicml"
"without_mirrors","2021-10-22","0.15%","61","BlackBoxAuditing"
"without_mirrors","2021-10-22","0.04%","1","fairml"
"without_mirrors","2021-10-22","0.08%","15","aequitas"
"without_mirrors","2021-10-22","0.13%","17","fairness-indicators"
"without_mirrors","2021-10-23","0.08%","200","fairlearn"
"without_mirrors","2021-10-23","0.11%","14","fairness-indicators"
"without_mirrors","2021-10-23","0.03%","14","BlackBoxAuditing"
"without_mirrors","2021-10-23","0.60%","107","aequitas"
"without_mirrors","2021-10-23","0.03%","5","ethicml"
"without_mirrors","2021-10-23","0.11%","58","aif360"
"without_mirrors","2021-10-24","0.04%","8","aequitas"
"without_mirrors","2021-10-24","0.15%","349","fairlearn"
"without_mirrors","2021-10-24","0.04%","1","fairml"
"without_mirrors","2021-10-24","0.17%","85","aif360"
"without_mirrors","2021-10-24","0.19%","24","fairness-indicators"
"without_mirrors","2021-10-24","0.11%","45","BlackBoxAuditing"
"without_mirrors","2021-10-25","0.03%","2","fairness"
"without_mirrors","2021-10-25","0.01%","1","ethicml"
"without_mirrors","2021-10-25","0.09%","39","BlackBoxAuditing"
"without_mirrors","2021-10-25","0.34%","8","fairml"
"without_mirrors","2021-10-25","0.44%","223","aif360"
"without_mirrors","2021-10-25","0.70%","124","aequitas"
"without_mirrors","2021-10-25","0.43%","1029","fairlearn"
"without_mirrors","2021-10-25","0.29%","37","fairness-indicators"
"without_mirrors","2021-10-26","0.26%","106","BlackBoxAuditing"
"without_mirrors","2021-10-26","0.03%","2","fairness"
"without_mirrors","2021-10-26","0.21%","27","fairness-indicators"
"without_mirrors","2021-10-26","0.41%","207","aif360"
"without_mirrors","2021-10-26","0.41%","965","fairlearn"
"without_mirrors","2021-10-26","0.49%","88","aequitas"
"without_mirrors","2021-10-26","0.08%","13","ethicml"
"without_mirrors","2021-10-26","0.09%","2","fairml"
"without_mirrors","2021-10-27","0.79%","140","aequitas"
"without_mirrors","2021-10-27","0.51%","36","fairness"
"without_mirrors","2021-10-27","0.52%","67","fairness-indicators"
"without_mirrors","2021-10-27","0.43%","10","fairml"
"without_mirrors","2021-10-27","0.50%","256","aif360"
"without_mirrors","2021-10-27","0.43%","4","themis-ml"
"without_mirrors","2021-10-27","0.22%","89","BlackBoxAuditing"
"without_mirrors","2021-10-27","0.56%","9","transparentai"
"without_mirrors","2021-10-27","0.51%","1218","fairlearn"
"without_mirrors","2021-10-27","0.31%","49","ethicml"
"without_mirrors","2021-10-28","0.02%","3","ethicml"
"without_mirrors","2021-10-28","0.31%","40","fairness-indicators"
"without_mirrors","2021-10-28","0.21%","88","BlackBoxAuditing"
"without_mirrors","2021-10-28","0.44%","1050","fairlearn"
"without_mirrors","2021-10-28","0.24%","43","aequitas"
"without_mirrors","2021-10-28","0.66%","334","aif360"
"without_mirrors","2021-10-28","0.69%","16","fairml"
"without_mirrors","2021-10-28","0.03%","2","fairness"
"without_mirrors","2021-10-28","0.21%","2","themis-ml"
"without_mirrors","2021-10-29","0.13%","3","fairml"
"without_mirrors","2021-10-29","0.34%","44","fairness-indicators"
"without_mirrors","2021-10-29","0.01%","1","ethicml"
"without_mirrors","2021-10-29","0.06%","1","transparentai"
"without_mirrors","2021-10-29","0.39%","69","aequitas"
"without_mirrors","2021-10-29","0.01%","1","fairness"
"without_mirrors","2021-10-29","0.03%","11","BlackBoxAuditing"
"without_mirrors","2021-10-29","0.33%","788","fairlearn"
"without_mirrors","2021-10-29","0.79%","401","aif360"
"without_mirrors","2021-10-30","0.22%","534","fairlearn"
"without_mirrors","2021-10-30","0.13%","66","aif360"
"without_mirrors","2021-10-30","0.01%","1","fairness"
"without_mirrors","2021-10-30","0.16%","20","fairness-indicators"
"without_mirrors","2021-10-30","0.04%","17","BlackBoxAuditing"
"without_mirrors","2021-10-30","0.05%","8","ethicml"
"without_mirrors","2021-10-30","0.34%","8","fairml"
"without_mirrors","2021-10-30","0.27%","48","aequitas"
"without_mirrors","2021-10-31","0.18%","92","aif360"
"without_mirrors","2021-10-31","0.06%","23","BlackBoxAuditing"
"without_mirrors","2021-10-31","0.11%","14","fairness-indicators"
"without_mirrors","2021-10-31","0.04%","1","fairml"
"without_mirrors","2021-10-31","0.01%","1","ethicml"
"without_mirrors","2021-10-31","0.08%","201","fairlearn"
"without_mirrors","2021-10-31","0.24%","43","aequitas"
"without_mirrors","2021-11-01","0.13%","17","fairness-indicators"
"without_mirrors","2021-11-01","0.01%","1","fairness"
"without_mirrors","2021-11-01","0.06%","25","BlackBoxAuditing"
"without_mirrors","2021-11-01","0.57%","289","aif360"
"without_mirrors","2021-11-01","0.54%","96","aequitas"
"without_mirrors","2021-11-01","0.02%","3","ethicml"
"without_mirrors","2021-11-01","0.38%","893","fairlearn"
"without_mirrors","2021-11-02","0.74%","132","aequitas"
"without_mirrors","2021-11-02","0.20%","25","fairness-indicators"
"without_mirrors","2021-11-02","1.59%","37","fairml"
"without_mirrors","2021-11-02","0.05%","21","BlackBoxAuditing"
"without_mirrors","2021-11-02","0.06%","1","transparentai"
"without_mirrors","2021-11-02","0.01%","1","fairness"
"without_mirrors","2021-11-02","0.01%","1","ethicml"
"without_mirrors","2021-11-02","2.02%","1032","aif360"
"without_mirrors","2021-11-02","0.38%","905","fairlearn"
"without_mirrors","2021-11-03","0.29%","52","aequitas"
"without_mirrors","2021-11-03","0.39%","9","fairml"
"without_mirrors","2021-11-03","0.28%","36","fairness-indicators"
"without_mirrors","2021-11-03","0.13%","52","BlackBoxAuditing"
"without_mirrors","2021-11-03","0.70%","358","aif360"
"without_mirrors","2021-11-03","0.44%","1038","fairlearn"
"without_mirrors","2021-11-03","0.01%","1","fairness"
"without_mirrors","2021-11-04","0.62%","315","aif360"
"without_mirrors","2021-11-04","0.16%","65","BlackBoxAuditing"
"without_mirrors","2021-11-04","0.09%","2","fairml"
"without_mirrors","2021-11-04","0.12%","2","transparentai"
"without_mirrors","2021-11-04","0.42%","1002","fairlearn"
"without_mirrors","2021-11-04","0.11%","1","themis-ml"
"without_mirrors","2021-11-04","0.60%","106","aequitas"
"without_mirrors","2021-11-04","0.02%","3","ethicml"
"without_mirrors","2021-11-04","0.20%","26","fairness-indicators"
"without_mirrors","2021-11-04","0.01%","1","fairness"
"without_mirrors","2021-11-05","0.40%","942","fairlearn"
"without_mirrors","2021-11-05","0.41%","209","aif360"
"without_mirrors","2021-11-05","0.07%","28","BlackBoxAuditing"
"without_mirrors","2021-11-05","0.28%","36","fairness-indicators"
"without_mirrors","2021-11-05","0.52%","93","aequitas"
"without_mirrors","2021-11-05","0.01%","1","ethicml"
"without_mirrors","2021-11-06","0.18%","23","fairness-indicators"
"without_mirrors","2021-11-06","0.21%","38","aequitas"
"without_mirrors","2021-11-06","0.04%","18","BlackBoxAuditing"
"without_mirrors","2021-11-06","0.24%","121","aif360"
"without_mirrors","2021-11-06","0.01%","1","fairness"
"without_mirrors","2021-11-06","0.12%","292","fairlearn"
"without_mirrors","2021-11-06","0.06%","1","transparentai"
"without_mirrors","2021-11-06","0.01%","1","ethicml"
"without_mirrors","2021-11-07","0.01%","1","fairness"
"without_mirrors","2021-11-07","0.13%","24","aequitas"
"without_mirrors","2021-11-07","0.06%","26","BlackBoxAuditing"
"without_mirrors","2021-11-07","0.13%","309","fairlearn"
"without_mirrors","2021-11-07","0.17%","86","aif360"
"without_mirrors","2021-11-07","0.34%","8","fairml"
"without_mirrors","2021-11-07","0.17%","22","fairness-indicators"
"without_mirrors","2021-11-07","0.06%","1","transparentai"
"without_mirrors","2021-11-07","0.01%","1","ethicml"
"without_mirrors","2021-11-08","0.50%","256","aif360"
"without_mirrors","2021-11-08","0.30%","721","fairlearn"
"without_mirrors","2021-11-08","0.12%","2","transparentai"
"without_mirrors","2021-11-08","0.54%","96","aequitas"
"without_mirrors","2021-11-08","0.34%","43","fairness-indicators"
"without_mirrors","2021-11-08","0.11%","1","themis-ml"
"without_mirrors","2021-11-08","0.18%","76","BlackBoxAuditing"
"without_mirrors","2021-11-09","0.16%","65","BlackBoxAuditing"
"without_mirrors","2021-11-09","0.60%","1432","fairlearn"
"without_mirrors","2021-11-09","0.01%","1","fairness"
"without_mirrors","2021-11-09","0.01%","1","ethicml"
"without_mirrors","2021-11-09","0.47%","60","fairness-indicators"
"without_mirrors","2021-11-09","0.56%","287","aif360"
"without_mirrors","2021-11-09","0.36%","64","aequitas"
"without_mirrors","2021-11-10","0.01%","1","fairness"
"without_mirrors","2021-11-10","0.13%","52","BlackBoxAuditing"
"without_mirrors","2021-11-10","0.27%","35","fairness-indicators"
