"category","date","percent","downloads","package"
"without_mirrors","2021-11-10","0.69%","1652","fairlearn"
"without_mirrors","2021-11-10","0.47%","83","aequitas"
"without_mirrors","2021-11-10","0.32%","3","themis-ml"
"without_mirrors","2021-11-10","0.41%","210","aif360"
"without_mirrors","2021-11-11","0.01%","1","ethicml"
"without_mirrors","2021-11-11","0.11%","44","BlackBoxAuditing"
"without_mirrors","2021-11-11","0.54%","1295","fairlearn"
"without_mirrors","2021-11-11","0.42%","214","aif360"
"without_mirrors","2021-11-11","0.84%","149","aequitas"
"without_mirrors","2021-11-11","0.28%","36","fairness-indicators"
"without_mirrors","2021-11-11","0.11%","1","themis-ml"
"without_mirrors","2021-11-12","0.69%","16","fairml"
"without_mirrors","2021-11-12","0.58%","74","fairness-indicators"
"without_mirrors","2021-11-12","0.19%","33","aequitas"
"without_mirrors","2021-11-12","0.30%","154","aif360"
"without_mirrors","2021-11-12","0.39%","61","ethicml"
"without_mirrors","2021-11-12","0.11%","1","themis-ml"
"without_mirrors","2021-11-12","0.06%","1","transparentai"
"without_mirrors","2021-11-12","0.41%","977","fairlearn"
"without_mirrors","2021-11-12","0.05%","21","BlackBoxAuditing"
"without_mirrors","2021-11-13","0.35%","45","fairness-indicators"
"without_mirrors","2021-11-13","0.34%","8","fairml"
"without_mirrors","2021-11-13","0.17%","394","fairlearn"
"without_mirrors","2021-11-13","0.17%","86","aif360"
"without_mirrors","2021-11-13","0.12%","19","ethicml"
"without_mirrors","2021-11-13","0.07%","13","aequitas"
"without_mirrors","2021-11-13","0.03%","2","fairness"
"without_mirrors","2021-11-13","0.06%","23","BlackBoxAuditing"
"without_mirrors","2021-11-14","0.35%","56","ethicml"
"without_mirrors","2021-11-14","0.32%","3","themis-ml"
"without_mirrors","2021-11-14","0.01%","1","fairness"
"without_mirrors","2021-11-14","0.26%","134","aif360"
"without_mirrors","2021-11-14","0.13%","3","fairml"
"without_mirrors","2021-11-14","0.12%","2","transparentai"
"without_mirrors","2021-11-14","0.07%","30","BlackBoxAuditing"
"without_mirrors","2021-11-14","0.09%","16","aequitas"
"without_mirrors","2021-11-14","0.39%","50","fairness-indicators"
"without_mirrors","2021-11-14","0.13%","312","fairlearn"
"without_mirrors","2021-11-15","0.53%","5","themis-ml"
"without_mirrors","2021-11-15","0.32%","50","ethicml"
"without_mirrors","2021-11-15","0.21%","88","BlackBoxAuditing"
"without_mirrors","2021-11-15","0.48%","34","fairness"
"without_mirrors","2021-11-15","0.54%","69","fairness-indicators"
"without_mirrors","2021-11-15","0.34%","799","fairlearn"
"without_mirrors","2021-11-15","0.41%","207","aif360"
"without_mirrors","2021-11-15","0.63%","112","aequitas"
"without_mirrors","2021-11-15","0.34%","8","fairml"
"without_mirrors","2021-11-16","0.21%","2","themis-ml"
"without_mirrors","2021-11-16","0.13%","24","aequitas"
"without_mirrors","2021-11-16","0.72%","1706","fairlearn"
"without_mirrors","2021-11-16","0.43%","217","aif360"
"without_mirrors","2021-11-16","0.14%","59","BlackBoxAuditing"
"without_mirrors","2021-11-16","0.01%","1","fairness"
"without_mirrors","2021-11-16","0.20%","25","fairness-indicators"
"without_mirrors","2021-11-16","0.04%","6","ethicml"
"without_mirrors","2021-11-17","0.62%","10","transparentai"
"without_mirrors","2021-11-17","0.58%","297","aif360"
"without_mirrors","2021-11-17","0.15%","26","aequitas"
"without_mirrors","2021-11-17","0.01%","1","fairness"
"without_mirrors","2021-11-17","0.74%","7","themis-ml"
"without_mirrors","2021-11-17","0.01%","2","ethicml"
"without_mirrors","2021-11-17","0.20%","81","BlackBoxAuditing"
"without_mirrors","2021-11-17","0.57%","1355","fairlearn"
"without_mirrors","2021-11-17","0.31%","39","fairness-indicators"
"without_mirrors","2021-11-17","0.47%","11","fairml"
"without_mirrors","2021-11-18","0.43%","55","fairness-indicators"
"without_mirrors","2021-11-18","0.34%","8","fairml"
"without_mirrors","2021-11-18","0.32%","3","themis-ml"
"without_mirrors","2021-11-18","0.03%","5","ethicml"
"without_mirrors","2021-11-18","0.60%","308","aif360"
"without_mirrors","2021-11-18","0.01%","1","fairness"
"without_mirrors","2021-11-18","0.45%","1068","fairlearn"
"without_mirrors","2021-11-18","0.19%","34","aequitas"
"without_mirrors","2021-11-18","0.17%","69","BlackBoxAuditing"
"without_mirrors","2021-11-19","0.19%","34","aequitas"
"without_mirrors","2021-11-19","0.32%","3","themis-ml"
"without_mirrors","2021-11-19","0.57%","1360","fairlearn"
"without_mirrors","2021-11-19","0.04%","7","ethicml"
"without_mirrors","2021-11-19","0.04%","1","fairml"
"without_mirrors","2021-11-19","0.13%","52","BlackBoxAuditing"
"without_mirrors","2021-11-19","0.21%","27","fairness-indicators"
"without_mirrors","2021-11-19","0.03%","2","fairness"
"without_mirrors","2021-11-19","0.34%","175","aif360"
"without_mirrors","2021-11-20","0.03%","4","ethicml"
"without_mirrors","2021-11-20","0.04%","8","aequitas"
"without_mirrors","2021-11-20","0.11%","1","themis-ml"
"without_mirrors","2021-11-20","0.03%","13","BlackBoxAuditing"
"without_mirrors","2021-11-20","0.11%","55","aif360"
"without_mirrors","2021-11-20","0.18%","23","fairness-indicators"
"without_mirrors","2021-11-20","0.22%","524","fairlearn"
"without_mirrors","2021-11-21","0.17%","87","aif360"
"without_mirrors","2021-11-21","0.18%","426","fairlearn"
"without_mirrors","2021-11-21","0.02%","3","ethicml"
"without_mirrors","2021-11-21","0.10%","13","fairness-indicators"
"without_mirrors","2021-11-21","0.01%","1","fairness"
"without_mirrors","2021-11-21","0.09%","36","BlackBoxAuditing"
"without_mirrors","2021-11-21","0.13%","23","aequitas"
"without_mirrors","2021-11-22","0.42%","989","fairlearn"
"without_mirrors","2021-11-22","0.21%","2","themis-ml"
"without_mirrors","2021-11-22","0.19%","3","transparentai"
"without_mirrors","2021-11-22","0.60%","106","aequitas"
"without_mirrors","2021-11-22","0.01%","1","fairness"
"without_mirrors","2021-11-22","0.02%","3","ethicml"
"without_mirrors","2021-11-22","0.53%","268","aif360"
"without_mirrors","2021-11-22","0.16%","20","fairness-indicators"
"without_mirrors","2021-11-22","0.25%","102","BlackBoxAuditing"
"without_mirrors","2021-11-23","0.71%","127","aequitas"
"without_mirrors","2021-11-23","0.06%","4","fairness"
"without_mirrors","2021-11-23","0.20%","81","BlackBoxAuditing"
"without_mirrors","2021-11-23","0.57%","292","aif360"
"without_mirrors","2021-11-23","0.05%","8","ethicml"
"without_mirrors","2021-11-23","0.43%","4","themis-ml"
"without_mirrors","2021-11-23","0.04%","1","fairml"
"without_mirrors","2021-11-23","0.40%","961","fairlearn"
"without_mirrors","2021-11-23","0.52%","67","fairness-indicators"
"without_mirrors","2021-11-24","0.35%","822","fairlearn"
"without_mirrors","2021-11-24","0.21%","27","fairness-indicators"
"without_mirrors","2021-11-24","0.44%","224","aif360"
"without_mirrors","2021-11-24","0.09%","2","fairml"
"without_mirrors","2021-11-24","0.01%","2","ethicml"
"without_mirrors","2021-11-24","0.18%","76","BlackBoxAuditing"
"without_mirrors","2021-11-24","0.06%","1","transparentai"
"without_mirrors","2021-11-24","0.49%","87","aequitas"
"without_mirrors","2021-11-25","0.32%","770","fairlearn"
"without_mirrors","2021-11-25","0.01%","2","ethicml"
"without_mirrors","2021-11-25","0.21%","27","fairness-indicators"
"without_mirrors","2021-11-25","0.24%","43","aequitas"
"without_mirrors","2021-11-25","0.34%","175","aif360"
"without_mirrors","2021-11-25","0.10%","41","BlackBoxAuditing"
"without_mirrors","2021-11-25","0.73%","17","fairml"
"without_mirrors","2021-11-26","0.17%","31","aequitas"
"without_mirrors","2021-11-26","0.09%","37","BlackBoxAuditing"
"without_mirrors","2021-11-26","0.32%","161","aif360"
"without_mirrors","2021-11-26","0.07%","11","ethicml"
"without_mirrors","2021-11-26","0.01%","1","fairness"
"without_mirrors","2021-11-26","1.03%","24","fairml"
"without_mirrors","2021-11-26","0.21%","499","fairlearn"
"without_mirrors","2021-11-26","0.16%","20","fairness-indicators"
"without_mirrors","2021-11-27","0.12%","290","fairlearn"
"without_mirrors","2021-11-27","0.18%","23","fairness-indicators"
"without_mirrors","2021-11-27","0.11%","46","BlackBoxAuditing"
"without_mirrors","2021-11-27","0.03%","5","ethicml"
"without_mirrors","2021-11-27","0.69%","16","fairml"
"without_mirrors","2021-11-27","0.07%","12","aequitas"
"without_mirrors","2021-11-27","0.11%","1","themis-ml"
"without_mirrors","2021-11-27","0.20%","103","aif360"
"without_mirrors","2021-11-27","0.06%","1","transparentai"
"without_mirrors","2021-11-28","0.15%","352","fairlearn"
"without_mirrors","2021-11-28","0.07%","12","aequitas"
"without_mirrors","2021-11-28","0.01%","1","fairness"
"without_mirrors","2021-11-28","0.29%","150","aif360"
"without_mirrors","2021-11-28","0.13%","16","fairness-indicators"
"without_mirrors","2021-11-28","0.34%","8","fairml"
"without_mirrors","2021-11-28","0.01%","2","ethicml"
"without_mirrors","2021-11-28","0.06%","26","BlackBoxAuditing"
"without_mirrors","2021-11-29","0.23%","29","fairness-indicators"
"without_mirrors","2021-11-29","0.06%","1","transparentai"
"without_mirrors","2021-11-29","0.50%","254","aif360"
"without_mirrors","2021-11-29","0.78%","18","fairml"
"without_mirrors","2021-11-29","0.17%","72","BlackBoxAuditing"
"without_mirrors","2021-11-29","0.83%","147","aequitas"
"without_mirrors","2021-11-29","0.03%","2","fairness"
"without_mirrors","2021-11-29","0.11%","1","themis-ml"
"without_mirrors","2021-11-29","0.67%","1599","fairlearn"
"without_mirrors","2021-11-29","0.03%","4","ethicml"
"without_mirrors","2021-11-30","0.23%","30","fairness-indicators"
"without_mirrors","2021-11-30","0.10%","40","BlackBoxAuditing"
"without_mirrors","2021-11-30","0.11%","1","themis-ml"
"without_mirrors","2021-11-30","3.15%","73","fairml"
"without_mirrors","2021-11-30","0.53%","269","aif360"
"without_mirrors","2021-11-30","0.16%","29","aequitas"
"without_mirrors","2021-11-30","0.80%","1912","fairlearn"
"without_mirrors","2021-11-30","0.02%","3","ethicml"
"without_mirrors","2021-11-30","0.04%","3","fairness"
"without_mirrors","2021-12-01","0.11%","1","themis-ml"
"without_mirrors","2021-12-01","0.04%","7","ethicml"
"without_mirrors","2021-12-01","0.06%","1","transparentai"
"without_mirrors","2021-12-01","0.78%","1857","fairlearn"
"without_mirrors","2021-12-01","0.49%","250","aif360"
"without_mirrors","2021-12-01","0.41%","73","aequitas"
"without_mirrors","2021-12-01","0.04%","3","fairness"
"without_mirrors","2021-12-01","1.03%","24","fairml"
"without_mirrors","2021-12-01","0.56%","71","fairness-indicators"
"without_mirrors","2021-12-01","0.20%","82","BlackBoxAuditing"
"without_mirrors","2021-12-02","0.17%","22","fairness-indicators"
"without_mirrors","2021-12-02","2.07%","48","fairml"
"without_mirrors","2021-12-02","0.01%","1","ethicml"
"without_mirrors","2021-12-02","0.01%","1","fairness"
"without_mirrors","2021-12-02","0.44%","79","aequitas"
"without_mirrors","2021-12-02","0.58%","294","aif360"
"without_mirrors","2021-12-02","0.39%","160","BlackBoxAuditing"
"without_mirrors","2021-12-02","0.76%","1818","fairlearn"
"without_mirrors","2021-12-03","0.01%","1","ethicml"
"without_mirrors","2021-12-03","0.11%","1","themis-ml"
"without_mirrors","2021-12-03","0.57%","1368","fairlearn"
"without_mirrors","2021-12-03","0.38%","48","fairness-indicators"
"without_mirrors","2021-12-03","0.33%","137","BlackBoxAuditing"
"without_mirrors","2021-12-03","0.72%","369","aif360"
"without_mirrors","2021-12-03","0.08%","15","aequitas"
"without_mirrors","2021-12-04","0.16%","28","aequitas"
"without_mirrors","2021-12-04","0.09%","37","BlackBoxAuditing"
"without_mirrors","2021-12-04","0.26%","612","fairlearn"
"without_mirrors","2021-12-04","0.01%","2","ethicml"
"without_mirrors","2021-12-04","0.17%","89","aif360"
"without_mirrors","2021-12-04","0.69%","16","fairml"
"without_mirrors","2021-12-04","0.18%","23","fairness-indicators"
"without_mirrors","2021-12-05","0.08%","31","BlackBoxAuditing"
"without_mirrors","2021-12-05","0.25%","32","fairness-indicators"
"without_mirrors","2021-12-05","0.20%","102","aif360"
"without_mirrors","2021-12-05","0.06%","9","ethicml"
"without_mirrors","2021-12-05","0.11%","1","themis-ml"
"without_mirrors","2021-12-05","0.04%","7","aequitas"
"without_mirrors","2021-12-05","0.21%","493","fairlearn"
"without_mirrors","2021-12-06","0.43%","1021","fairlearn"
"without_mirrors","2021-12-06","0.25%","32","fairness-indicators"
"without_mirrors","2021-12-06","0.39%","9","fairml"
"without_mirrors","2021-12-06","0.06%","1","transparentai"
"without_mirrors","2021-12-06","0.38%","196","aif360"
"without_mirrors","2021-12-06","0.20%","81","BlackBoxAuditing"
"without_mirrors","2021-12-06","0.17%","30","aequitas"
"without_mirrors","2021-12-07","0.47%","193","BlackBoxAuditing"
"without_mirrors","2021-12-07","0.28%","50","aequitas"
"without_mirrors","2021-12-07","0.16%","20","fairness-indicators"
"without_mirrors","2021-12-07","0.78%","397","aif360"
"without_mirrors","2021-12-07","0.51%","1221","fairlearn"
"without_mirrors","2021-12-07","0.02%","3","ethicml"
"without_mirrors","2021-12-08","0.53%","5","themis-ml"
"without_mirrors","2021-12-08","0.01%","1","ethicml"
"without_mirrors","2021-12-08","1.06%","539","aif360"
"without_mirrors","2021-12-08","0.17%","22","fairness-indicators"
"without_mirrors","2021-12-08","0.01%","1","fairness"
"without_mirrors","2021-12-08","0.06%","1","transparentai"
"without_mirrors","2021-12-08","0.35%","146","BlackBoxAuditing"
"without_mirrors","2021-12-08","0.53%","1263","fairlearn"
"without_mirrors","2021-12-08","0.10%","17","aequitas"
"without_mirrors","2021-12-08","0.34%","8","fairml"
"without_mirrors","2021-12-09","0.45%","228","aif360"
"without_mirrors","2021-12-09","0.11%","1","themis-ml"
"without_mirrors","2021-12-09","0.34%","8","fairml"
"without_mirrors","2021-12-09","0.15%","26","aequitas"
"without_mirrors","2021-12-09","0.03%","4","ethicml"
"without_mirrors","2021-12-09","0.12%","15","fairness-indicators"
"without_mirrors","2021-12-09","0.18%","73","BlackBoxAuditing"
"without_mirrors","2021-12-09","0.01%","1","fairness"
"without_mirrors","2021-12-09","0.06%","1","transparentai"
"without_mirrors","2021-12-09","0.51%","1221","fairlearn"
"without_mirrors","2021-12-10","0.46%","234","aif360"
"without_mirrors","2021-12-10","0.26%","33","fairness-indicators"
"without_mirrors","2021-12-10","0.34%","8","fairml"
"without_mirrors","2021-12-10","0.16%","28","aequitas"
"without_mirrors","2021-12-10","0.03%","2","fairness"
"without_mirrors","2021-12-10","0.36%","855","fairlearn"
"without_mirrors","2021-12-10","0.23%","37","ethicml"
"without_mirrors","2021-12-10","0.19%","80","BlackBoxAuditing"
"without_mirrors","2021-12-11","0.04%","7","ethicml"
"without_mirrors","2021-12-11","0.04%","1","fairml"
"without_mirrors","2021-12-11","0.13%","53","BlackBoxAuditing"
"without_mirrors","2021-12-11","0.14%","18","fairness-indicators"
"without_mirrors","2021-12-11","0.17%","407","fairlearn"
"without_mirrors","2021-12-11","0.10%","17","aequitas"
"without_mirrors","2021-12-11","0.24%","123","aif360"
"without_mirrors","2021-12-12","0.30%","154","aif360"
"without_mirrors","2021-12-12","0.16%","392","fairlearn"
"without_mirrors","2021-12-12","0.02%","3","aequitas"
"without_mirrors","2021-12-12","0.15%","19","fairness-indicators"
"without_mirrors","2021-12-12","0.39%","62","ethicml"
"without_mirrors","2021-12-12","0.15%","63","BlackBoxAuditing"
"without_mirrors","2021-12-13","0.08%","13","ethicml"
"without_mirrors","2021-12-13","0.39%","69","aequitas"
"without_mirrors","2021-12-13","0.55%","282","aif360"
"without_mirrors","2021-12-13","0.35%","839","fairlearn"
"without_mirrors","2021-12-13","0.15%","19","fairness-indicators"
"without_mirrors","2021-12-13","0.20%","84","BlackBoxAuditing"
"without_mirrors","2021-12-14","0.15%","19","fairness-indicators"
"without_mirrors","2021-12-14","0.13%","55","BlackBoxAuditing"
"without_mirrors","2021-12-14","0.11%","1","themis-ml"
"without_mirrors","2021-12-14","0.10%","18","aequitas"
"without_mirrors","2021-12-14","1.27%","647","aif360"
"without_mirrors","2021-12-14","0.04%","6","ethicml"
"without_mirrors","2021-12-14","0.46%","1083","fairlearn"
"without_mirrors","2021-12-15","0.11%","20","aequitas"
"without_mirrors","2021-12-15","0.15%","60","BlackBoxAuditing"
"without_mirrors","2021-12-15","0.45%","1059","fairlearn"
"without_mirrors","2021-12-15","0.02%","3","ethicml"
"without_mirrors","2021-12-15","0.23%","29","fairness-indicators"
"without_mirrors","2021-12-15","0.63%","320","aif360"
"without_mirrors","2021-12-16","0.21%","33","ethicml"
"without_mirrors","2021-12-16","0.30%","7","fairml"
"without_mirrors","2021-12-16","0.63%","323","aif360"
"without_mirrors","2021-12-16","0.18%","75","BlackBoxAuditing"
"without_mirrors","2021-12-16","0.16%","28","aequitas"
"without_mirrors","2021-12-16","0.15%","19","fairness-indicators"
"without_mirrors","2021-12-16","0.33%","792","fairlearn"
"without_mirrors","2021-12-17","0.26%","612","fairlearn"
"without_mirrors","2021-12-17","0.35%","179","aif360"
"without_mirrors","2021-12-17","0.13%","17","fairness-indicators"
"without_mirrors","2021-12-17","0.04%","3","fairness"
"without_mirrors","2021-12-17","0.19%","34","aequitas"
"without_mirrors","2021-12-17","0.12%","49","BlackBoxAuditing"
"without_mirrors","2021-12-17","0.03%","4","ethicml"
"without_mirrors","2021-12-17","0.04%","1","fairml"
"without_mirrors","2021-12-18","0.13%","64","aif360"
"without_mirrors","2021-12-18","0.04%","7","ethicml"
"without_mirrors","2021-12-18","0.03%","2","fairness"
"without_mirrors","2021-12-18","0.16%","20","fairness-indicators"
"without_mirrors","2021-12-18","0.07%","28","BlackBoxAuditing"
"without_mirrors","2021-12-18","0.07%","12","aequitas"
"without_mirrors","2021-12-18","0.13%","311","fairlearn"
"without_mirrors","2021-12-18","0.06%","1","transparentai"
"without_mirrors","2021-12-19","0.08%","15","aequitas"
"without_mirrors","2021-12-19","0.02%","3","ethicml"
"without_mirrors","2021-12-19","0.11%","57","aif360"
"without_mirrors","2021-12-19","0.07%","28","BlackBoxAuditing"
"without_mirrors","2021-12-19","0.13%","317","fairlearn"
"without_mirrors","2021-12-19","0.12%","15","fairness-indicators"
"without_mirrors","2021-12-20","0.25%","593","fairlearn"
"without_mirrors","2021-12-20","0.04%","6","ethicml"
"without_mirrors","2021-12-20","0.07%","13","aequitas"
"without_mirrors","2021-12-20","0.16%","21","fairness-indicators"
"without_mirrors","2021-12-20","0.01%","1","fairness"
"without_mirrors","2021-12-20","0.14%","56","BlackBoxAuditing"
"without_mirrors","2021-12-20","0.41%","210","aif360"
"without_mirrors","2021-12-21","0.21%","34","ethicml"
"without_mirrors","2021-12-21","0.22%","40","aequitas"
"without_mirrors","2021-12-21","0.30%","714","fairlearn"
"without_mirrors","2021-12-21","0.14%","18","fairness-indicators"
"without_mirrors","2021-12-21","0.35%","180","aif360"
"without_mirrors","2021-12-21","0.12%","51","BlackBoxAuditing"
"without_mirrors","2021-12-21","0.01%","1","fairness"
"without_mirrors","2021-12-22","0.23%","37","ethicml"
"without_mirrors","2021-12-22","0.15%","63","BlackBoxAuditing"
"without_mirrors","2021-12-22","0.36%","183","aif360"
"without_mirrors","2021-12-22","0.30%","38","fairness-indicators"
"without_mirrors","2021-12-22","0.19%","456","fairlearn"
"without_mirrors","2021-12-22","0.20%","36","aequitas"
"without_mirrors","2021-12-23","0.27%","137","aif360"
"without_mirrors","2021-12-23","0.20%","31","ethicml"
"without_mirrors","2021-12-23","0.21%","38","aequitas"
"without_mirrors","2021-12-23","0.01%","1","fairness"
"without_mirrors","2021-12-23","0.19%","442","fairlearn"
"without_mirrors","2021-12-23","0.12%","15","fairness-indicators"
"without_mirrors","2021-12-23","0.13%","53","BlackBoxAuditing"
"without_mirrors","2021-12-24","0.05%","9","aequitas"
"without_mirrors","2021-12-24","0.14%","332","fairlearn"
"without_mirrors","2021-12-24","0.14%","73","aif360"
"without_mirrors","2021-12-24","0.16%","25","ethicml"
"without_mirrors","2021-12-24","0.03%","14","BlackBoxAuditing"
"without_mirrors","2021-12-24","0.11%","14","fairness-indicators"
"without_mirrors","2021-12-25","0.03%","13","BlackBoxAuditing"
"without_mirrors","2021-12-25","0.01%","1","fairness"
"without_mirrors","2021-12-25","0.10%","235","fairlearn"
"without_mirrors","2021-12-25","0.09%","12","fairness-indicators"
"without_mirrors","2021-12-25","0.06%","10","aequitas"
"without_mirrors","2021-12-25","0.03%","5","ethicml"
"without_mirrors","2021-12-25","0.06%","1","transparentai"
"without_mirrors","2021-12-25","0.04%","18","aif360"
"without_mirrors","2021-12-26","0.02%","4","aequitas"
"without_mirrors","2021-12-26","0.09%","46","aif360"
"without_mirrors","2021-12-26","0.09%","12","fairness-indicators"
